method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
AEL,Spark,2,0.9839,0.9983,0.9910,0.9050,5
AEL,Spark,2,0.9839,0.9983,0.9910,0.9050,6
AEL,Spark,2,0.9839,0.9983,0.9910,0.9050,7
AEL,Spark,2,0.9839,0.9983,0.9910,0.9050,8
AEL,Spark,2,0.9839,0.9983,0.9910,0.9050,9
AEL,Spark,2,0.9839,0.9983,0.9910,0.9050,10
Drain,BGL,2,0.9992,1.0000,0.9996,0.9625,1
Drain,BGL,2,0.9992,1.0000,0.9996,0.9625,2
Drain,BGL,2,0.9992,1.0000,0.9996,0.9625,3
Drain,BGL,2,0.9992,1.0000,0.9996,0.9625,4
Drain,BGL,2,0.9992,1.0000,0.9996,0.9625,5
Drain,BGL,2,0.9992,1.0000,0.9996,0.9625,6
Drain,BGL,2,0.9992,1.0000,0.9996,0.9625,7
Drain,BGL,2,0.9992,1.0000,0.9996,0.9625,8
Drain,BGL,2,0.9992,1.0000,0.9996,0.9625,9
Drain,BGL,2,0.9992,1.0000,0.9996,0.9625,10
Drain,OpenStack,2,0.9992,0.9860,0.9925,0.7325,1
Drain,OpenStack,2,0.9992,0.9860,0.9925,0.7325,2
Drain,OpenStack,2,0.9992,0.9860,0.9925,0.7325,3
Drain,OpenStack,2,0.9992,0.9860,0.9925,0.7325,4
Drain,OpenStack,2,0.9992,0.9860,0.9925,0.7325,5
Drain,OpenStack,2,0.9992,0.9860,0.9925,0.7325,6
Drain,OpenStack,2,0.9992,0.9860,0.9925,0.7325,7
Drain,OpenStack,2,0.9992,0.9860,0.9925,0.7325,8
Drain,OpenStack,2,0.9992,0.9860,0.9925,0.7325,9
Drain,OpenStack,2,0.9992,0.9860,0.9925,0.7325,10
Drain,HDFS,2,1.0000,1.0000,1.0000,0.9975,1
Drain,HDFS,2,1.0000,1.0000,1.0000,0.9975,2
Drain,HDFS,2,1.0000,1.0000,1.0000,0.9975,3
Drain,HDFS,2,1.0000,1.0000,1.0000,0.9975,4
Drain,HDFS,2,1.0000,1.0000,1.0000,0.9975,5
Drain,HDFS,2,1.0000,1.0000,1.0000,0.9975,6
Drain,HDFS,2,1.0000,1.0000,1.0000,0.9975,7
Drain,HDFS,2,1.0000,1.0000,1.0000,0.9975,8
Drain,HDFS,2,1.0000,1.0000,1.0000,0.9975,9
Drain,HDFS,2,1.0000,1.0000,1.0000,0.9975,10
Drain,Apache,2,1.0000,1.0000,1.0000,1.0000,1
Drain,Apache,2,1.0000,1.0000,1.0000,1.0000,2
Drain,Apache,2,1.0000,1.0000,1.0000,1.0000,3
Drain,Apache,2,1.0000,1.0000,1.0000,1.0000,4
Drain,Apache,2,1.0000,1.0000,1.0000,1.0000,5
Drain,Apache,2,1.0000,1.0000,1.0000,1.0000,6
Drain,Apache,2,1.0000,1.0000,1.0000,1.0000,7
Drain,Apache,2,1.0000,1.0000,1.0000,1.0000,8
Drain,Apache,2,1.0000,1.0000,1.0000,1.0000,9
Drain,Apache,2,1.0000,1.0000,1.0000,1.0000,10
Drain,HPC,2,0.9851,0.9963,0.9906,0.8870,1
Drain,HPC,2,0.9851,0.9963,0.9906,0.8870,2
Drain,HPC,2,0.9851,0.9963,0.9906,0.8870,3
Drain,HPC,2,0.9851,0.9963,0.9906,0.8870,4
Drain,HPC,2,0.9851,0.9963,0.9906,0.8870,5
Drain,HPC,2,0.9851,0.9963,0.9906,0.8870,6
Drain,HPC,2,0.9851,0.9963,0.9906,0.8870,7
Drain,HPC,2,0.9851,0.9963,0.9906,0.8870,8
Drain,HPC,2,0.9851,0.9963,0.9906,0.8870,9
Drain,HPC,2,0.9851,0.9963,0.9906,0.8870,10
Drain,Windows,2,1.0000,1.0000,1.0000,0.9970,1
Drain,Windows,2,1.0000,1.0000,1.0000,0.9970,2
Drain,Windows,2,1.0000,1.0000,1.0000,0.9970,3
Drain,Windows,2,1.0000,1.0000,1.0000,0.9970,4
Drain,Windows,2,1.0000,1.0000,1.0000,0.9970,5
Drain,Windows,2,1.0000,1.0000,1.0000,0.9970,6
Drain,Windows,2,1.0000,1.0000,1.0000,0.9970,7
Drain,Windows,2,1.0000,1.0000,1.0000,0.9970,8
Drain,Windows,2,1.0000,1.0000,1.0000,0.9970,9
Drain,Windows,2,1.0000,1.0000,1.0000,0.9970,10
Drain,HealthApp,2,0.9848,0.8603,0.9184,0.7800,1
Drain,HealthApp,2,0.9848,0.8603,0.9184,0.7800,2
Drain,HealthApp,2,0.9848,0.8603,0.9184,0.7800,3
Drain,HealthApp,2,0.9848,0.8603,0.9184,0.7800,4
Drain,HealthApp,2,0.9848,0.8603,0.9184,0.7800,5
Drain,HealthApp,2,0.9848,0.8603,0.9184,0.7800,6
Drain,HealthApp,2,0.9848,0.8603,0.9184,0.7800,7
Drain,HealthApp,2,0.9848,0.8603,0.9184,0.7800,8
Drain,HealthApp,2,0.9848,0.8603,0.9184,0.7800,9
Drain,HealthApp,2,0.9848,0.8603,0.9184,0.7800,10
Drain,Mac,2,0.9759,0.9750,0.9755,0.7865,1
Drain,Mac,2,0.9759,0.9750,0.9755,0.7865,2
Drain,Mac,2,0.9759,0.9750,0.9755,0.7865,3
Drain,Mac,2,0.9759,0.9750,0.9755,0.7865,4
Drain,Mac,2,0.9759,0.9750,0.9755,0.7865,5
Drain,Mac,2,0.9759,0.9750,0.9755,0.7865,6
Drain,Mac,2,0.9759,0.9750,0.9755,0.7865,7
Drain,Mac,2,0.9759,0.9750,0.9755,0.7865,8
Drain,Mac,2,0.9759,0.9750,0.9755,0.7865,9
Drain,Mac,2,0.9759,0.9750,0.9755,0.7865,10
Drain,Spark,2,0.9839,1.0000,0.9919,0.9200,1
Drain,Spark,2,0.9839,1.0000,0.9919,0.9200,2
Drain,Spark,2,0.9839,1.0000,0.9919,0.9200,3
Drain,Spark,2,0.9839,1.0000,0.9919,0.9200,4
Drain,Spark,2,0.9839,1.0000,0.9919,0.9200,5
Drain,Spark,2,0.9839,1.0000,0.9919,0.9200,6
Drain,Spark,2,0.9839,1.0000,0.9919,0.9200,7
Drain,Spark,2,0.9839,1.0000,0.9919,0.9200,8
Drain,Spark,2,0.9839,1.0000,0.9919,0.9200,9
Drain,Spark,2,0.9839,1.0000,0.9919,0.9200,10
IPLoM,BGL,2,0.9982,1.0000,0.9991,0.9390,1
IPLoM,BGL,2,0.9982,1.0000,0.9991,0.9390,2
IPLoM,BGL,2,0.9982,1.0000,0.9991,0.9390,3
IPLoM,BGL,2,0.9982,1.0000,0.9991,0.9390,4
IPLoM,BGL,2,0.9982,1.0000,0.9991,0.9390,5
IPLoM,BGL,2,0.9982,1.0000,0.9991,0.9390,6
IPLoM,BGL,2,0.9982,1.0000,0.9991,0.9390,7
IPLoM,BGL,2,0.9982,1.0000,0.9991,0.9390,8
IPLoM,BGL,2,0.9982,1.0000,0.9991,0.9390,9
IPLoM,BGL,2,0.9982,1.0000,0.9991,0.9390,10
IPLoM,OpenStack,2,0.8368,1.0000,0.9111,0.3410,1
IPLoM,OpenStack,2,0.8368,1.0000,0.9111,0.3410,2
IPLoM,OpenStack,2,0.8368,1.0000,0.9111,0.3410,3
IPLoM,OpenStack,2,0.8368,1.0000,0.9111,0.3410,4
IPLoM,OpenStack,2,0.8368,1.0000,0.9111,0.3410,5
IPLoM,OpenStack,2,0.8368,1.0000,0.9111,0.3410,6
IPLoM,OpenStack,2,0.8368,1.0000,0.9111,0.3410,7
IPLoM,OpenStack,2,0.8368,1.0000,0.9111,0.3410,8
IPLoM,OpenStack,2,0.8368,1.0000,0.9111,0.3410,9
IPLoM,OpenStack,2,0.8368,1.0000,0.9111,0.3410,10
IPLoM,HDFS,2,1.0000,1.0000,1.0000,1.0000,1
